customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID14,Female,1,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,34.5,483.0,0
ID15,Male,0,Yes,No,15,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),35.5,532.5,0
ID16,Female,1,No,Yes,16,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),36.5,584.0,0
ID17,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,37.5,637.5,0
ID18,Female,1,No,Yes,18,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,38.5,693.0,0
ID19,Male,0,Yes,No,19,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.5,750.5,0
ID20,Female,1,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),40.5,810.0,0
ID21,Male,0,Yes,No,21,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,41.5,871.5,0
ID22,Female,1,No,Yes,22,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,42.5,935.0,0
ID23,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),43.5,1000.5,0
ID24,Female,1,No,Yes,24,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),44.5,1068.0,0
ID25,Male,0,Yes,No,25,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,45.5,1137.5,0
ID26,Female,1,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,46.5,1209.0,0
ID27,Male,0,Yes,No,27,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),47.5,1282.5,0
ID28,Female,1,No,Yes,28,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),48.5,1358.0,0
ID29,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,49.5,1435.5,0
ID30,Female,1,No,Yes,30,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,50.5,1515.0,0
ID31,Male,0,Yes,No,31,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.5,1596.5,0
ID32,Female,1,No,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),52.5,1680.0,0
ID33,Male,0,Yes,No,33,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,53.5,1765.5,0
ID34,Female,1,No,Yes,34,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,54.5,1853.0,0
ID35,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),55.5,1942.5,0
ID36,Female,1,No,Yes,36,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),56.5,2034.0,0
ID37,Male,0,Yes,No,37,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,57.5,2127.5,0
ID38,Female,1,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,58.5,2223.0,0
ID39,Male,0,Yes,No,39,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),59.5,2320.5,0
ID40,Female,1,No,Yes,40,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),60.5,2420.0,0
ID41,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,61.5,2521.5,0
ID42,Female,1,No,Yes,42,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,62.5,2625.0,0
ID43,Male,0,Yes,No,43,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),63.5,2730.5,0
ID44,Female,1,No,Yes,44,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),64.5,2838.0,0
ID45,Male,0,Yes,No,45,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,65.5,2947.5,0
ID46,Female,1,No,Yes,46,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,66.5,3059.0,0
ID47,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),67.5,3172.5,0
ID48,Female,1,No,Yes,48,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),68.5,3288.0,0
ID49,Male,0,Yes,No,49,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,69.5,3405.5,0
ID50,Female,1,No,Yes,50,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,70.5,3525.0,0
ID51,Male,0,Yes,No,51,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),71.5,3646.5,0
ID52,Female,1,No,Yes,52,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),72.5,3770.0,0
ID53,Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,73.5,3895.5,0
ID54,Female,1,No,Yes,54,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,74.5,4023.0,0
ID55,Male,0,Yes,No,55,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.5,4152.5,0
ID56,Female,1,No,Yes,56,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),76.5,4284.0,0
ID57,Male,0,Yes,No,57,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,77.5,4417.5,0
ID58,Female,1,No,Yes,58,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,78.5,4553.0,0
ID59,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),79.5,4690.5,0
ID60,Female,1,No,Yes,60,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),80.5,4830.0,0
ID61,Male,0,Yes,No,61,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,81.5,4971.5,0
ID62,Female,1,No,Yes,62,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,82.5,5115.0,0
ID63,Male,0,Yes,No,63,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),83.5,5260.5,0
ID64,Female,1,No,Yes,64,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),84.5,5408.0,0
ID65,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,85.5,5557.5,0
ID66,Female,1,No,Yes,66,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,86.5,5709.0,0
ID67,Male,0,Yes,No,67,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.5,5862.5,0
ID68,Female,1,No,Yes,68,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),88.5,6018.0,0
ID69,Male,0,Yes,No,69,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,89.5,6175.5,0
ID70,Female,1,No,Yes,70,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,90.5,6335.0,0
ID71,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),91.5,6496.5,0
ID72,Female,1,No,Yes,0,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),92.5,0.0,0
ID73,Male,0,Yes,No,1,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,93.5,93.5,0
ID74,Female,1,No,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,94.5,189.0,0
ID75,Male,0,Yes,No,3,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),95.5,286.5,0
ID76,Female,1,No,Yes,4,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),96.5,386.0,0
ID77,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,97.5,487.5,0
ID78,Female,1,No,Yes,6,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,98.5,591.0,0
ID79,Male,0,Yes,No,7,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),99.5,696.5,0
ID80,Female,1,No,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),20.5,164.0,0
ID81,Male,0,Yes,No,9,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,21.5,193.5,0
ID82,Female,1,No,Yes,10,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,22.5,225.0,0
ID83,Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),23.5,258.5,0
ID84,Female,1,No,Yes,12,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),24.5,294.0,0
ID85,Male,0,Yes,No,13,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,25.5,331.5,0
ID86,Female,1,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,26.5,371.0,0
ID87,Male,0,Yes,No,15,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),27.5,412.5,0
ID88,Female,1,No,Yes,16,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),28.5,456.0,0
ID89,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,29.5,501.5,0
ID90,Female,1,No,Yes,18,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,30.5,549.0,0
ID91,Male,0,Yes,No,19,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),31.5,598.5,0
ID92,Female,1,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),32.5,650.0,0
ID93,Male,0,Yes,No,21,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,33.5,703.5,0
ID94,Female,1,No,Yes,22,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,34.5,759.0,0
ID95,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),35.5,816.5,0
ID96,Female,1,No,Yes,24,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),36.5,876.0,0
ID97,Male,0,Yes,No,25,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,37.5,937.5,0
ID98,Female,1,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,38.5,1001.0,0
ID99,Male,0,Yes,No,27,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),39.5,1066.5,0
ID100,Female,1,No,Yes,28,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),40.5,1134.0,0
ID101,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,41.5,1203.5,0
ID102,Female,1,No,Yes,30,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,42.5,1275.0,0
ID103,Male,0,Yes,No,31,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),43.5,1348.5,0
ID104,Female,1,No,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),44.5,1424.0,0
ID105,Male,0,Yes,No,33,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,45.5,1501.5,0
ID106,Female,1,No,Yes,34,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,46.5,1581.0,0
ID107,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),47.5,1662.5,0
ID108,Female,1,No,Yes,36,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),48.5,1746.0,0
ID109,Male,0,Yes,No,37,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,49.5,1831.5,0
ID110,Female,1,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,50.5,1919.0,0
ID111,Male,0,Yes,No,39,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),51.5,2008.5,0
ID112,Female,1,No,Yes,40,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),52.5,2100.0,0
ID113,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,53.5,2193.5,0
ID114,Female,1,No,Yes,42,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,54.5,2289.0,0
ID115,Male,0,Yes,No,43,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.5,2386.5,0
ID116,Female,1,No,Yes,44,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),56.5,2486.0,0
ID117,Male,0,Yes,No,45,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,57.5,2587.5,0
ID118,Female,1,No,Yes,46,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,58.5,2691.0,0
ID119,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),59.5,2796.5,0
ID120,Female,1,No,Yes,48,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),60.5,2904.0,0
ID121,Male,0,Yes,No,49,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,61.5,3013.5,0
ID122,Female,1,No,Yes,50,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,62.5,3125.0,0
ID123,Male,0,Yes,No,51,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.5,3238.5,0
ID124,Female,1,No,Yes,52,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),64.5,3354.0,0
ID125,Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,65.5,3471.5,0
ID126,Female,1,No,Yes,54,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,66.5,3591.0,0
ID127,Male,0,Yes,No,55,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),67.5,3712.5,0
ID128,Female,1,No,Yes,56,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),68.5,3836.0,0
ID129,Male,0,Yes,No,57,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,69.5,3961.5,0
ID130,Female,1,No,Yes,58,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,70.5,4089.0,0
ID131,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),71.5,4218.5,0
ID132,Female,1,No,Yes,60,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),72.5,4350.0,0
ID133,Male,0,Yes,No,61,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,73.5,4483.5,0
ID134,Female,1,No,Yes,62,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,74.5,4619.0,0
ID135,Male,0,Yes,No,63,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),75.5,4756.5,0
ID136,Female,1,No,Yes,64,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),76.5,4896.0,0
ID137,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,77.5,5037.5,0
ID138,Female,1,No,Yes,66,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,78.5,5181.0,0
ID139,Male,0,Yes,No,67,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.5,5326.5,0
ID140,Female,1,No,Yes,68,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),80.5,5474.0,0
ID141,Male,0,Yes,No,69,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,81.5,5623.5,0
ID142,Female,1,No,Yes,70,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,82.5,5775.0,0
ID143,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),83.5,5928.5,0
ID144,Female,1,No,Yes,0,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),84.5,0.0,0
ID145,Male,0,Yes,No,1,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,85.5,85.5,0
ID146,Female,1,No,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,86.5,173.0,0
ID147,Male,0,Yes,No,3,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),87.5,262.5,0
ID148,Female,1,No,Yes,4,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),88.5,354.0,0
ID149,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,89.5,447.5,0
ID150,Female,1,No,Yes,6,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,90.5,543.0,0
ID151,Male,0,Yes,No,7,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.5,640.5,0
ID152,Female,1,No,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),92.5,740.0,0
ID153,Male,0,Yes,No,9,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,93.5,841.5,0
ID154,Female,1,No,Yes,10,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,94.5,945.0,0
ID155,Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),95.5,1050.5,0
ID156,Female,1,No,Yes,12,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),96.5,1158.0,0
ID157,Male,0,Yes,No,13,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,97.5,1267.5,0
ID158,Female,1,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,98.5,1379.0,0
ID159,Male,0,Yes,No,15,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),99.5,1492.5,0
ID160,Female,1,No,Yes,16,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),20.5,328.0,0
ID161,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,21.5,365.5,0
ID162,Female,1,No,Yes,18,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,22.5,405.0,0
ID163,Male,0,Yes,No,19,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),23.5,446.5,0
ID164,Female,1,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),24.5,490.0,0
ID165,Male,0,Yes,No,21,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,25.5,535.5,0
ID166,Female,1,No,Yes,22,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,26.5,583.0,0
ID167,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),27.5,632.5,0
ID168,Female,1,No,Yes,24,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),28.5,684.0,0
ID169,Male,0,Yes,No,25,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,29.5,737.5,0
ID170,Female,1,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,30.5,793.0,0
ID171,Male,0,Yes,No,27,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),31.5,850.5,0
ID172,Female,1,No,Yes,28,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),32.5,910.0,0
ID173,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,33.5,971.5,0
ID174,Female,1,No,Yes,30,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,34.5,1035.0,0
ID175,Male,0,Yes,No,31,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),35.5,1100.5,0
ID176,Female,1,No,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),36.5,1168.0,0
ID177,Male,0,Yes,No,33,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,37.5,1237.5,0
ID178,Female,1,No,Yes,34,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,38.5,1309.0,0
ID179,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),39.5,1382.5,0
ID180,Female,1,No,Yes,36,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),40.5,1458.0,0
ID181,Male,0,Yes,No,37,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,41.5,1535.5,0
ID182,Female,1,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,42.5,1615.0,0
ID183,Male,0,Yes,No,39,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),43.5,1696.5,0
ID184,Female,1,No,Yes,40,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),44.5,1780.0,0
ID185,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,45.5,1865.5,0
ID186,Female,1,No,Yes,42,Yes,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,46.5,1953.0,0
ID187,Male,0,Yes,No,43,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.5,2042.5,0
